"","description"
"4.1.1.98","4-hydroxy-3-polyprenylbenzoate decarboxylase"
"4.1.1.99","Phosphomevalonate decarboxylase"
"4.1.2.13","Fructose-bisphosphate aldolase"
"4.1.2.14","2-dehydro-3-deoxy-phosphogluconate aldolase"
"4.1.2.17","L-fuculose-phosphate aldolase"
"4.1.2.19","Rhamnulose-1-phosphate aldolase"
"4.1.2.20","2-dehydro-3-deoxyglucarate aldolase"
"4.1.2.21","2-dehydro-3-deoxy-6-phosphogalactonate aldolase"
"4.1.2.22","Fructose-6-phosphate phosphoketolase"
"4.1.2.25","Dihydroneopterin aldolase"
"4.1.2.27","Sphinganine-1-phosphate aldolase"
"4.1.2.28","2-dehydro-3-deoxy-D-pentonate aldolase"
"4.1.2.29","5-dehydro-2-deoxyphosphogluconate aldolase"
"4.1.2.34","4-(2-carboxyphenyl)-2-oxobut-3-enoate aldolase"
"4.1.2.4","Deoxyribose-phosphate aldolase"
"4.1.2.40","Tagatose-bisphosphate aldolase"
"4.1.2.41","Vanillin synthase"
"4.1.2.42","D-threonine aldolase"
"4.1.2.43","3-hexulose-6-phosphate synthase"
"4.1.2.44","2,3-epoxybenzoyl-CoA dihydrolase"
"4.1.2.45","Trans-o-hydroxybenzylidenepyruvate hydratase-aldolase"
"4.1.2.48","Low-specificity L-threonine aldolase"
"4.1.2.49","L-allo-threonine aldolase"
"4.1.2.50","6-carboxytetrahydropterin synthase"
"4.1.2.52","4-hydroxy-2-oxoheptanedioate aldolase"
"4.1.2.53","2-keto-3-deoxy-L-rhamnonate aldolase"
"4.1.2.56","2-amino-4,5-dihydroxy-6-oxo-7-(phosphonooxy)heptanoate synthase"
"4.1.2.57","Sulfofructosephosphate aldolase"
"4.1.2.8","Indole-3-glycerol-phosphate lyase"
"4.1.2.9","Phosphoketolase"
"4.1.3.1","Isocitrate lyase"
"4.1.3.16","4-hydroxy-2-oxoglutarate aldolase"
"4.1.3.17","4-hydroxy-4-methyl-2-oxoglutarate aldolase"
"4.1.3.24","Malyl-CoA lyase"
"4.1.3.25","(S)-citramalyl-CoA lyase"
"4.1.3.27","Anthranilate synthase"
"4.1.3.3","N-acetylneuraminate lyase"
"4.1.3.30","Methylisocitrate lyase"
"4.1.3.32","2,3-dimethylmalate lyase"
"4.1.3.34","Citryl-CoA lyase"
"4.1.3.36","1,4-dihydroxy-2-naphthoyl-CoA synthase"
"4.1.3.38","Aminodeoxychorismate lyase"
"4.1.3.39","4-hydroxy-2-oxovalerate aldolase"
"4.1.3.4","Hydroxymethylglutaryl-CoA lyase"
"4.1.3.40","Chorismate lyase"
"4.1.3.41","3-hydroxy-D-aspartate aldolase"
"4.1.3.42","(4S)-4-hydroxy-2-oxoglutarate aldolase"
"4.1.3.43","4-hydroxy-2-oxohexanoate aldolase"
"4.1.3.44","tRNA 4-demethylwyosine synthase (AdoMet-dependent)"
"4.1.3.45","3-hydroxybenzoate synthase"
"4.1.3.46","(R)-citramalyl-CoA lyase"
"4.1.99.1","Tryptophanase"
"4.1.99.11","Benzylsuccinate synthase"
"4.1.99.12","3,4-dihydroxy-2-butanone-4-phosphate synthase"
"4.1.99.14","Spore photoproduct lyase"
"4.1.99.16","Geosmin synthase"
"4.1.99.17","Phosphomethylpyrimidine synthase"
"4.1.99.19","2-iminoacetate synthase"
"4.1.99.2","Tyrosine phenol-lyase"
"4.1.99.20","3-amino-4-hydroxybenzoate synthase"
"4.1.99.22","GTP 3',8-cyclase"
"4.1.99.23","5-hydroxybenzimidazole synthase"
"4.1.99.3","Deoxyribodipyrimidine photo-lyase"
"4.1.99.5","Aldehyde oxygenase (deformylating)"
"4.2.1.1","Carbonic anhydrase"
"4.2.1.10","3-dehydroquinate dehydratase"
"4.2.1.100","Cyclohexa-1,5-dienecarbonyl-CoA hydratase"
"4.2.1.101","Trans-feruloyl-CoA hydratase"
"4.2.1.103","Cyclohexyl-isocyanide hydratase"
"4.2.1.104","Cyanase"
"4.2.1.107","hydratase"
"4.2.1.108","Ectoine synthase"
"4.2.1.109","Methylthioribulose 1-phosphate dehydratase"
"4.2.1.11","Phosphopyruvate hydratase"
"4.2.1.110","Aldos-2-ulose dehydratase"
"4.2.1.113","o-succinylbenzoate synthase"
"4.2.1.114","Methanogen homoaconitase"
"4.2.1.115","UDP-N-acetylglucosamine 4,6-dehydratase (inverting)"
"4.2.1.116","3-hydroxypropionyl-CoA dehydratase"
"4.2.1.117","2-methylcitrate dehydratase (2-methyl-trans-aconitate forming)"
"4.2.1.118","3-dehydroshikimate dehydratase"
"4.2.1.119","Enoyl-CoA hydratase 2"
"4.2.1.12","Phosphogluconate dehydratase"
"4.2.1.120","4-hydroxybutanoyl-CoA dehydratase"
"4.2.1.126","N-acetylmuramic acid 6-phosphate etherase"
"4.2.1.127","Linalool dehydratase"
"4.2.1.129","Squalene--hopanol cyclase"
"4.2.1.130","D-lactate dehydratase"
"4.2.1.131","Carotenoid 1,2-hydratase"
"4.2.1.132","2-hydroxyhexa-2,4-dienoate hydratase"
"4.2.1.135","UDP-N-acetylglucosamine 4,6-dehydratase (configuration-retaining)"
"4.2.1.136","ADP-dependent NAD(P)H-hydrate dehydratase"
"4.2.1.137","Sporulenol synthase"
"4.2.1.138","(+)-caryolan-1-ol synthase"
"4.2.1.140","Gluconate/galactonate dehydratase"
"4.2.1.141","2-dehydro-3-deoxy-D-arabinonate dehydratase"
"4.2.1.144","3-amino-5-hydroxybenzoate synthase"
"4.2.1.147","5,6,7,8-tetrahydromethanopterin hydro-lyase"
"4.2.1.148","2-methylfumaryl-CoA hydratase"
"4.2.1.149","Crotonobetainyl-CoA hydratase"
"4.2.1.151","Chorismate dehydratase"
"4.2.1.153","3-methylfumaryl-CoA hydratase"
"4.2.1.155","Methylthioacryloyl-CoA hydratase"
"4.2.1.156","L-talarate dehydratase"
"4.2.1.157","(R)-2-hydroxyisocaproyl-CoA dehydratase"
"4.2.1.158","Galactarate dehydratase (D-threo-forming)"
"4.2.1.159","dTDP-4-dehydro-6-deoxy-alpha-D-glucopyranose 2,3-dehydratase"
"4.2.1.160","isomerase/dehydratase"
"4.2.1.161","Bisanhydrobacterioruberin hydratase"
"4.2.1.164","dTDP-4-dehydro-2,6-dideoxy-D-glucose 3-dehydratase"
"4.2.1.165","Chlorophyllide a 3(1)-hydratase"
"4.2.1.167","(R)-2-hydroxyglutaryl-CoA dehydratase"
"4.2.1.169","3-vinylbacteriochlorophyllide d 3(1)-hydratase"
"4.2.1.17","Enoyl-CoA hydratase"
"4.2.1.171","Cis-l-3-hydroxyproline dehydratase"
"4.2.1.18","Methylglutaconyl-CoA hydratase"
"4.2.1.19","Imidazoleglycerol-phosphate dehydratase"
"4.2.1.2","Fumarate hydratase"
"4.2.1.20","Tryptophan synthase"
"4.2.1.22","Cystathionine beta-synthase"
"4.2.1.24","Porphobilinogen synthase"
"4.2.1.25","L-arabinonate dehydratase"
"4.2.1.28","Propanediol dehydratase"
"4.2.1.3","Aconitate hydratase"
"4.2.1.30","Glycerol dehydratase"
"4.2.1.32","L(+)-tartrate dehydratase"
"4.2.1.33","3-isopropylmalate dehydratase"
"4.2.1.35","(R)-2-methylmalate dehydratase"
"4.2.1.36","Homoaconitate hydratase"
"4.2.1.40","Glucarate dehydratase"
"4.2.1.41","5-dehydro-4-deoxyglucarate dehydratase"
"4.2.1.42","Galactarate dehydratase"
"4.2.1.43","2-dehydro-3-deoxy-L-arabinonate dehydratase"
"4.2.1.44","Myo-inosose-2 dehydratase"
"4.2.1.45","CDP-glucose 4,6-dehydratase"
"4.2.1.46","dTDP-glucose 4,6-dehydratase"
"4.2.1.47","GDP-mannose 4,6-dehydratase"
"4.2.1.48","D-glutamate cyclase"
"4.2.1.49","Urocanate hydratase"
"4.2.1.5","Arabinonate dehydratase"
"4.2.1.51","Prephenate dehydratase"
"4.2.1.53","Oleate hydratase"
"4.2.1.54","Lactoyl-CoA dehydratase"
"4.2.1.55","3-hydroxybutyryl-CoA dehydratase"
"4.2.1.56","Itaconyl-CoA hydratase"
"4.2.1.57","Isohexenylglutaconyl-CoA hydratase"
"4.2.1.59","3-hydroxyacyl-[acyl-carrier-protein] dehydratase"
"4.2.1.6","Galactonate dehydratase"
"4.2.1.68","L-fuconate dehydratase"
"4.2.1.7","Altronate dehydratase"
"4.2.1.70","Pseudouridylate synthase"
"4.2.1.75","Uroporphyrinogen-III synthase"
"4.2.1.76","UDP-glucose 4,6-dehydratase"
"4.2.1.79","2-methylcitrate dehydratase"
"4.2.1.8","Mannonate dehydratase"
"4.2.1.80","2-oxopent-4-enoate hydratase"
"4.2.1.81","D(-)-tartrate dehydratase"
"4.2.1.82","Xylonate dehydratase"
"4.2.1.83","4-oxalmesaconate hydratase"
"4.2.1.84","Nitrile hydratase"
"4.2.1.85","Dimethylmaleate hydratase"
"4.2.1.9","Dihydroxy-acid dehydratase"
"4.2.1.90","L-rhamnonate dehydratase"
"4.2.1.91","Arogenate dehydratase"
"4.2.1.96","4a-hydroxytetrahydrobiopterin dehydratase"
"4.2.1.99","2-methylisocitrate dehydratase"
"4.2.2.1","Hyaluronate lyase"
"4.2.2.10","Pectin lyase"
"4.2.2.17","Inulin fructotransferase (DFA-I-forming)"
"4.2.2.19","Chondroitin B lyase"
"4.2.2.2","Pectate lyase"
"4.2.2.20","Chondroitin-sulfate-ABC endolyase"
"4.2.2.21","Chondroitin-sulfate-ABC exolyase"
"4.2.2.23","Rhamnogalacturonan endolyase"
"4.2.2.24","Rhamnogalacturonan exolyase"
"4.2.2.26","Oligo-alginate lyase"
"4.2.2.3","Mannuronate-specific alginate lyase"
"4.2.2.5","Chondroitin AC lyase"
"4.2.2.6","Oligogalacturonide lyase"
"4.2.2.7","Heparin lyase"
"4.2.2.8","Heparin-sulfate lyase"
"4.2.2.9","Pectate disaccharide-lyase"
"4.2.3.1","Threonine synthase"
"4.2.3.118","2-methylisoborneol synthase"
"4.2.3.12","6-pyruvoyltetrahydropterin synthase"
"4.2.3.130","Tetraprenyl-beta-curcumene synthase"
"4.2.3.152","2-epi-5-epi-valiolone synthase"
"4.2.3.153","(5-formylfuran-3-yl)methyl phosphate synthase"
"4.2.3.154","Demethyl-4-deoxygadusol synthase"
"4.2.3.156","Hydroxysqualene synthase"
"4.2.3.2","Ethanolamine-phosphate phospho-lyase"
"4.2.3.22","Germacradienol synthase"
"4.2.3.3","Methylglyoxal synthase"
"4.2.3.37","Epi-isozizaene synthase"
"4.2.3.4","3-dehydroquinate synthase"
"4.2.3.47","Beta-farnesene synthase"
"4.2.3.5","Chorismate synthase"
"4.2.3.7","Pentalenene synthase"
"4.2.3.75","(-)-germacrene D synthase"
"4.2.3.89","(+)-beta-caryophyllene synthase"
"4.2.3.90","5-epi-alpha-selinene synthase"
"4.2.99.18","DNA-(apurinic or apyrimidinic site) lyase"
"4.2.99.20","2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase"
"4.2.99.21","Isochorismate lyase"
"4.3.1.1","Aspartate ammonia-lyase"
"4.3.1.12","Ornithine cyclodeaminase"
"4.3.1.14","3-aminobutyryl-CoA ammonia-lyase"
"4.3.1.15","Diaminopropionate ammonia-lyase"
"4.3.1.17","L-serine ammonia-lyase"
"4.3.1.18","D-serine ammonia-lyase"
"4.3.1.19","Threonine ammonia-lyase"
"4.3.1.2","Methylaspartate ammonia-lyase"
"4.3.1.23","Tyrosine ammonia-lyase"
"4.3.1.24","Phenylalanine ammonia-lyase"
"4.3.1.27","Threo-3-hydroxy-D-aspartate ammonia-lyase"
"4.3.1.28","L-lysine cyclodeaminase"
"4.3.1.29","D-glucosaminate-6-phosphate ammonia lyase"
"4.3.1.3","Histidine ammonia-lyase"
"4.3.1.30","dTDP-4-amino-4,6-dideoxy-D-glucose ammonia-lyase"
"4.3.1.4","Formimidoyltetrahydrofolate cyclodeaminase"
"4.3.1.7","Ethanolamine ammonia-lyase"
"4.3.1.9","Glucosaminate ammonia-lyase"
"4.3.2.1","Argininosuccinate lyase"
"4.3.2.2","Adenylosuccinate lyase"
"4.3.2.3","Ureidoglycolate lyase"
"4.3.2.5","Peptidylamidoglycolate lyase"
"4.3.2.9","Gamma-glutamylcyclotransferase"
"4.3.3.2","Strictosidine synthase"
"4.3.3.6","Pyridoxal 5'-phosphate synthase (glutamine hydrolyzing)"
"4.3.3.7","4-hydroxy-tetrahydrodipicolinate synthase"
"4.3.99.2","Transferred entry 7.2.4.1"
"4.3.99.3","7-carboxy-7-deazaguanine synthase"
"4.3.99.4","Choline trimethylamine-lyase"
"4.4.1.1","Cystathionine gamma-lyase"
"4.4.1.11","Methionine gamma-lyase"
"4.4.1.15","D-cysteine desulfhydrase"
"4.4.1.16","Selenocysteine lyase"
"4.4.1.19","Phosphosulfolactate synthase"
"4.4.1.2","Homocysteine desulfhydrase"
"4.4.1.21","S-ribosylhomocysteine lyase"
"4.4.1.22","S-(hydroxymethyl)glutathione synthase"
"4.4.1.23","2-hydroxypropyl-CoM lyase"
"4.4.1.24","(2R)-sulfolactate sulfo-lyase"
"4.4.1.25","L-cysteate sulfo-lyase"
"4.4.1.28","L-cysteine desulfidase"
"4.4.1.3","Dimethylpropiothetin dethiomethylase"
"4.4.1.31","Phycoerythrocyanin alpha-cysteine-84 phycoviolobilin lyase/isomerase"
"4.4.1.32","C-phycocyanin alpha-cysteine-84 phycocyanobilin lyase"
"4.4.1.33","R-phycocyanin alpha-cysteine-84 phycourobilin lyase/isomerase"
"4.4.1.36","Hercynylcysteine S-oxide lyase"
"4.4.1.5","Lactoylglutathione lyase"
"4.4.1.8","Cystathionine beta-lyase"
"4.5.1.3","Dichloromethane dehalogenase"
"4.6.1.1","Adenylate cyclase"
"4.6.1.12","2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase"
"4.6.1.13","Phosphatidylinositol diacylglycerol-lyase"
"4.6.1.15","FAD-AMP lyase (cyclizing)"
"4.6.1.16","tRNA-intron lyase"
"4.6.1.17","Cyclic pyranopterin monophosphate synthase"
"4.6.1.2","Guanylate cyclase"
"4.7.1.1","Alpha-D-ribose 1-methylphosphonate 5-phosphate C-P-lyase"
"4.99.1.1","Protoporphyrin ferrochelatase"
"4.99.1.11","Sirohydrochlorin nickelchelatase"
"4.99.1.12","Pyridinium-3,5-bisthiocarboxylic acid mononucleotide nickel chelatase"
"4.99.1.2","Alkylmercury lyase"
"4.99.1.3","Sirohydrochlorin cobaltochelatase"
"4.99.1.4","Sirohydrochlorin ferrochelatase"
"4.99.1.5","Aliphatic aldoxime dehydratase"
"4.99.1.9","Coproporphyrin ferrochelatase"
"5.1.1.1","Alanine racemase"
"5.1.1.12","Ornithine racemase"
"5.1.1.13","Aspartate racemase"
"5.1.1.14","Nocardicin-A epimerase"
"5.1.1.17","Isopenicillin-N epimerase"
"5.1.1.18","Serine racemase"
"5.1.1.20","L-Ala-D/L-Glu epimerase"
"5.1.1.21","Isoleucine 2-epimerase"
"5.1.1.22","4-hydroxyproline betaine 2-epimerase"
"5.1.1.3","Glutamate racemase"
"5.1.1.4","Proline racemase"
"5.1.1.5","Lysine racemase"
"5.1.1.7","Diaminopimelate epimerase"
"5.1.1.8","4-hydroxyproline epimerase"
"5.1.2.1","Lactate racemase"
"5.1.2.2","Mandelate racemase"
"5.1.2.3","3-hydroxybutyryl-CoA epimerase"
"5.1.2.7","Tagaturonate epimerase"
"5.1.3.1","Ribulose-phosphate 3-epimerase"
"5.1.3.10","CDP-paratose 2-epimerase"
"5.1.3.11","Cellobiose epimerase"
"5.1.3.13","dTDP-4-dehydrorhamnose 3,5-epimerase"
"5.1.3.14","UDP-N-acetylglucosamine 2-epimerase (non-hydrolyzing)"
"5.1.3.15","Glucose-6-phosphate 1-epimerase"
"5.1.3.19","Chondroitin-glucuronate 5-epimerase"
"5.1.3.2","UDP-glucose 4-epimerase"
"5.1.3.20","ADP-glyceromanno-heptose 6-epimerase"
"5.1.3.22","L-ribulose-5-phosphate 3-epimerase"
"5.1.3.23","UDP-2,3-diacetamido-2,3-dideoxyglucuronic acid 2-epimerase"
"5.1.3.24","N-acetylneuraminate epimerase"
"5.1.3.25","dTDP-L-rhamnose 4-epimerase"
"5.1.3.26","4-epimerase"
"5.1.3.29","L-fucose mutarotase"
"5.1.3.3","Aldose 1-epimerase"
"5.1.3.30","D-psicose 3-epimerase"
"5.1.3.31","D-tagatose 3-epimerase"
"5.1.3.32","L-rhamnose mutarotase"
"5.1.3.33","2-epi-5-epi-valiolone epimerase"
"5.1.3.34","Monoglucosyldiacylglycerol epimerase"
"5.1.3.37","Mannuronan 5-epimerase"
"5.1.3.38","D-erythrulose 1-phosphate 3-epimerase"
"5.1.3.39","Deleted entry"
"5.1.3.4","L-ribulose-5-phosphate 4-epimerase"
"5.1.3.40","D-tagatose 6-phosphate 4-epimerase"
"5.1.3.5","UDP-arabinose 4-epimerase"
"5.1.3.6","UDP-glucuronate 4-epimerase"
"5.1.3.7","UDP-N-acetylglucosamine 4-epimerase"
"5.1.3.8","N-acylglucosamine 2-epimerase"
"5.1.3.9","N-acylglucosamine-6-phosphate 2-epimerase"
"5.1.99.1","Methylmalonyl-CoA epimerase"
"5.1.99.3","Allantoin racemase"
"5.1.99.4","Alpha-methylacyl-CoA racemase"
"5.1.99.6","NAD(P)H-hydrate epimerase"
"5.1.99.7","Dihydroneopterin triphosphate 2'-epimerase"
"5.1.99.8","7,8-dihydroneopterin epimerase"
"5.2.1.1","Maleate isomerase"
"5.2.1.13","Prolycopene isomerase"
"5.2.1.2","Maleylacetoacetate isomerase"
"5.2.1.4","Maleylpyruvate isomerase"
"5.2.1.8","Peptidylprolyl isomerase"
"5.3.1.1","Triose-phosphate isomerase"
"5.3.1.12","Glucuronate isomerase"
"5.3.1.13","Arabinose-5-phosphate isomerase"
"5.3.1.14","L-rhamnose isomerase"
"5.3.1.15","D-lyxose ketol-isomerase"
"5.3.1.16","isomerase"
"5.3.1.17","5-dehydro-4-deoxy-D-glucuronate isomerase"
"5.3.1.22","Hydroxypyruvate isomerase"
"5.3.1.23","S-methyl-5-thioribose-1-phosphate isomerase"
"5.3.1.24","Phosphoribosylanthranilate isomerase"
"5.3.1.25","L-fucose isomerase"
"5.3.1.26","Galactose-6-phosphate isomerase"
"5.3.1.27","6-phospho-3-hexuloisomerase"
"5.3.1.28","D-sedoheptulose 7-phosphate isomerase"
"5.3.1.29","Ribose 1,5-bisphosphate isomerase"
"5.3.1.3","D-arabinose isomerase"
"5.3.1.30","5-deoxy-glucuronate isomerase"
"5.3.1.31","Sulfoquinovose isomerase"
"5.3.1.32","(4S)-4-hydroxy-5-phosphonooxypentane-2,3-dione isomerase"
"5.3.1.33","L-erythrulose 1-phosphate isomerase"
"5.3.1.34","D-erythrulose 4-phosphate isomerase"
"5.3.1.35","2-dehydrotetronate isomerase"
"5.3.1.4","L-arabinose isomerase"
"5.3.1.5","Xylose isomerase"
"5.3.1.6","Ribose-5-phosphate isomerase"
"5.3.1.8","Mannose-6-phosphate isomerase"
"5.3.1.9","Glucose-6-phosphate isomerase"
"5.3.2.5","2,3-diketo-5-methylthiopentyl-1-phosphate enolase"
"5.3.2.6","2-hydroxymuconate tautomerase"
"5.3.2.8","4-oxalomesaconate tautomerase"
"5.3.3.1","Steroid Delta-isomerase"
"5.3.3.10","5-carboxymethyl-2-hydroxymuconate Delta-isomerase"
"5.3.3.14","Trans-2-decenoyl-[acyl-carrier-protein] isomerase"
"5.3.3.17","Trans-2,3-dihydro-3-hydroxyanthranilate isomerase"
"5.3.3.18","2-(1,2-epoxy-1,2-dihydrophenyl)acetyl-CoA isomerase"
"5.3.3.19","3-((4R)-4-hydroxycyclohexa-1,5-dien-1-yl)-2-oxopropanoate isomerase"
"5.3.3.2","Isopentenyl-diphosphate Delta-isomerase"
"5.3.3.3","Vinylacetyl-CoA Delta-isomerase"
"5.3.3.4","Muconolactone Delta-isomerase"
"5.3.3.5","Cholestenol Delta-isomerase"
"5.3.3.6","Methylitaconate Delta-isomerase"
"5.3.3.7","Aconitate Delta-isomerase"
"5.3.3.8","Delta(3)-Delta(2)-enoyl-CoA isomerase"
"5.3.4.1","Protein disulfide-isomerase"
"5.3.99.10","Thiazole tautomerase"
"5.3.99.11","2-keto-myo-inositol isomerase"
"5.3.99.2","Prostaglandin-D synthase"
"5.3.99.7","Styrene-oxide isomerase"
"5.4.1.3","2-methylfumaryl-CoA isomerase"
"5.4.1.4","D-galactarolactone isomerase"
"5.4.2.10","Phosphoglucosamine mutase"
"5.4.2.11","Phosphoglycerate mutase (2,3-diphosphoglycerate-dependent)"
"5.4.2.12","Phosphoglycerate mutase (2,3-diphosphoglycerate-independent)"
"5.4.2.2","Phosphoglucomutase (alpha-D-glucose-1,6-bisphosphate-dependent)"
"5.4.2.6","Beta-phosphoglucomutase"
"5.4.2.7","Phosphopentomutase"
"5.4.2.8","Phosphomannomutase"
"5.4.2.9","Phosphoenolpyruvate mutase"
"5.4.3.2","Lysine 2,3-aminomutase"
"5.4.3.3","Lysine 5,6-aminomutase"
"5.4.3.5","D-ornithine 4,5-aminomutase"
"5.4.3.6","Tyrosine 2,3-aminomutase"
"5.4.3.8","Glutamate-1-semialdehyde 2,1-aminomutase"
"5.4.3.9","Glutamate 2,3-aminomutase"
"5.4.4.1","(Hydroxyamino)benzene mutase"
"5.4.4.2","Isochorismate synthase"
"5.4.4.3","3-(hydroxyamino)phenol mutase"
"5.4.4.4","Geraniol isomerase"
"5.4.99.1","Methylaspartate mutase"
"5.4.99.12","tRNA pseudouridine(38-40) synthase"
"5.4.99.13","Isobutyryl-CoA mutase"
"5.4.99.15","(1->4)-alpha-D-glucan 1-alpha-D-glucosylmutase"
"5.4.99.16","Maltose alpha-D-glucosyltransferase"
"5.4.99.17","Squalene--hopene cyclase"
"5.4.99.18","5-(carboxyamino)imidazole ribonucleotide mutase"
"5.4.99.19","16S rRNA pseudouridine(516) synthase"
"5.4.99.2","Methylmalonyl-CoA mutase"
"5.4.99.20","23S rRNA pseudouridine(2457) synthase"
"5.4.99.21","23S rRNA pseudouridine(2604) synthase"
"5.4.99.22","23S rRNA pseudouridine(2605) synthase"
"5.4.99.23","23S rRNA pseudouridine(1911/1915/1917) synthase"
"5.4.99.24","23S rRNA pseudouridine(955/2504/2580) synthase"
"5.4.99.25","tRNA pseudouridine(55) synthase"
"5.4.99.26","tRNA pseudouridine(65) synthase"
"5.4.99.27","tRNA pseudouridine(13) synthase"
"5.4.99.28","tRNA pseudouridine(32) synthase"
"5.4.99.29","23S rRNA pseudouridine(746) synthase"
"5.4.99.32","Protostadienol synthase"
"5.4.99.4","2-methyleneglutarate mutase"
"5.4.99.5","Chorismate mutase"
"5.4.99.58","Methylornithine synthase"
"5.4.99.60","Cobalt-precorrin-8 methylmutase"
"5.4.99.61","Precorrin-8X methylmutase"
"5.4.99.62","D-ribose pyranase"
"5.4.99.63","Ethylmalonyl-CoA mutase"
"5.4.99.64","2-hydroxyisobutanoyl-CoA mutase"
"5.4.99.7","Lanosterol synthase"
"5.4.99.8","Cycloartenol synthase"
"5.4.99.9","UDP-galactopyranose mutase"
"5.5.1.1","Muconate cycloisomerase"
"5.5.1.16","Halimadienyl-diphosphate synthase"
"5.5.1.18","Lycopene epsilon-cyclase"
"5.5.1.19","Lycopene beta-cyclase"
"5.5.1.2","3-carboxy-cis,cis-muconate cycloisomerase"
"5.5.1.24","Tocopherol cyclase"
"5.5.1.25","3,6-anhydro-L-galactonate cycloisomerase"
"5.5.1.27","D-galactarolactone cycloisomerase"
"5.5.1.4","Inositol-3-phosphate synthase"
"5.5.1.7","Chloromuconate cycloisomerase"
"5.5.1.9","Cycloeucalenol cycloisomerase"
"5.99.1.2","Transferred entry 5.6.2.1"
"5.99.1.3","Transferred entry 5.6.2.2"
"5.99.1.4","2-hydroxychromene-2-carboxylate isomerase"
"6.1.1.1","Tyrosine--tRNA ligase"
"6.1.1.10","Methionine--tRNA ligase"
"6.1.1.11","Serine--tRNA ligase"
"6.1.1.12","Aspartate--tRNA ligase"
"6.1.1.13","D-alanine--poly(phosphoribitol) ligase"
"6.1.1.14","Glycine--tRNA ligase"
"6.1.1.15","Proline--tRNA ligase"
"6.1.1.16","Cysteine--tRNA ligase"
"6.1.1.17","Glutamate--tRNA ligase"
"6.1.1.18","Glutamine--tRNA ligase"
"6.1.1.19","Arginine--tRNA ligase"
"6.1.1.2","Tryptophan--tRNA ligase"
"6.1.1.20","Phenylalanine--tRNA ligase"
"6.1.1.21","Histidine--tRNA ligase"
"6.1.1.22","Asparagine--tRNA ligase"
"6.1.1.23","Aspartate--tRNA(Asn) ligase"
"6.1.1.24","Glutamate--tRNA(Gln) ligase"
"6.1.1.26","Pyrrolysine--tRNA(Pyl) ligase"
"6.1.1.27","O-phosphoserine--tRNA ligase"
"6.1.1.3","Threonine--tRNA ligase"
"6.1.1.4","Leucine--tRNA ligase"
"6.1.1.5","Isoleucine--tRNA ligase"
"6.1.1.6","Lysine--tRNA ligase"
"6.1.1.7","Alanine--tRNA ligase"
"6.1.1.9","Valine--tRNA ligase"
"6.1.2.1","D-alanine--(R)-lactate ligase"
"6.1.3.1","Olefin beta-lactone synthetase"
"6.2.1.1","Acetate--CoA ligase"
"6.2.1.12","4-coumarate--CoA ligase"
"6.2.1.13","Acetate--CoA ligase (ADP-forming)"
"6.2.1.14","6-carboxyhexanoate--CoA ligase"
"6.2.1.16","Acetoacetate--CoA ligase"
"6.2.1.17","Propionate--CoA ligase"
"6.2.1.18","Citrate--CoA ligase"
"6.2.1.19","Long-chain-fatty-acid--protein ligase"
"6.2.1.2","Medium-chain acyl-CoA ligase"
"6.2.1.20","Long-chain-fatty-acid--[acyl-carrier-protein] ligase"
"6.2.1.22","[Citrate (pro-3S)-lyase] ligase"
"6.2.1.25","Benzoate--CoA ligase"
"6.2.1.26","o-succinylbenzoate--CoA ligase"
"6.2.1.27","4-hydroxybenzoate--CoA ligase"
"6.2.1.3","Long-chain-fatty-acid--CoA ligase"
"6.2.1.30","Phenylacetate--CoA ligase"
"6.2.1.31","2-furoate--CoA ligase"
"6.2.1.32","Anthranilate--CoA ligase"
"6.2.1.34","Trans-feruloyl-CoA synthase"
"6.2.1.35","Acetate--[acyl-carrier protein] ligase"
"6.2.1.36","3-hydroxypropionyl-CoA synthase"
"6.2.1.37","3-hydroxybenzoate--CoA ligase"
"6.2.1.4","Succinate--CoA ligase (GDP-forming)"
"6.2.1.41","-CoA ligase"
"6.2.1.42","3-oxocholest-4-en-26-oate--CoA ligase"
"6.2.1.43","2-hydroxy-7-methoxy-5-methyl-1-naphthoate--CoA ligase"
"6.2.1.44","3-(methylthio)propionyl--CoA ligase"
"6.2.1.45","E1 ubiquitin-activating enzyme"
"6.2.1.48","Carnitine--CoA ligase"
"6.2.1.5","Succinate--CoA ligase (ADP-forming)"
"6.2.1.50","4-hydroxybenzoate adenylyltransferase FadD22"
"6.2.1.51","4-hydroxyphenylalkanoate adenylyltransferase FadD29"
"6.2.1.7","Cholate--CoA ligase"
"6.2.1.8","Oxalate--CoA ligase"
"6.2.1.9","Malate--CoA ligase"
"6.3.1.1","Aspartate--ammonia ligase"
"6.3.1.10","Adenosylcobinamide-phosphate synthase"
"6.3.1.11","Glutamate--putrescine ligase"
"6.3.1.12","D-aspartate ligase"
"6.3.1.13","ligase"
"6.3.1.14","Diphthine--ammonia ligase"
"6.3.1.17","Beta-citrylglutamate synthase"
"6.3.1.19","Prokaryotic ubiquitin-like protein ligase"
"6.3.1.2","Glutamine synthetase"
"6.3.1.20","Lipoate--protein ligase"
"6.3.1.5","NAD(+) synthase"
"6.3.1.8","Glutathionylspermidine synthase"
"6.3.2.1","Pantoate--beta-alanine ligase (AMP-forming)"
